Account,Auto_Ship_Ind,Interior_Decor_Signage_Available_Funds,LMS_Enrolled,LMS_Available_Matching_Funds,LMS_Used_Funds_Most_Recent_3_Months,LMS_Used_Funds_Previous_3_Months,Open_Smart,PIP_Program,PQS_Program,SCS_Program,Spar_Coverage_Ind,Specialty_Solutions,Vaccine_Items,Vaccine_Starter,Vaccine_Items_Count,Vaccine_Items_Sls_Amt,YPO,Tot_Sls_Amt,DLC_Program_encoded,FEM_Program_encoded,HM_Circular_Program_encoded,Internal_Decor,PQS_Enrolled_encoded,ST_encoded,Pog_Code_Name_encoded,DC_Name_encoded,Bus_Type_Desc_encoded,Region_encoded,PSAO_Expanded_encoded,Chain_Name_encoded,Salesperson_encoded,AH_Program_encoded,OTC_Front-end_Size_encoded,MRA_Program_Type_-_Active_AH_encoded,Msa_Dma_encoded,Signage_Program_encoded
10491,1,1724.0,1,822.0,1,1,0,1,1,1,0,0,1,0,4.0,1700.66,0,141319.0,0,3,1,1,0,37,2,19,0,3,16,39,1,4,1,7,183,0
17475,1,0.0,1,0.0,1,1,0,0,1,1,1,0,0,0,0.0,0.0,0,211381.0,0,0,1,1,0,37,2,19,0,3,0,39,1,0,3,3,190,0
19901,0,0.0,1,0.0,1,1,0,1,1,1,1,0,0,0,0.0,0.0,1,151490.0,0,0,1,1,0,37,2,19,0,3,0,39,1,0,4,2,183,0
309745,0,2500.0,1,0.0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0,165231.0,5,0,0,0,1,37,2,19,0,3,0,39,1,0,1,8,183,3
652229,0,0.0,1,340.0,1,0,0,0,1,0,0,0,1,0,1.0,1632.71,0,129169.0,1,1,0,1,0,37,2,19,0,3,0,38,1,0,0,8,183,0
121439,1,2500.0,1,2415.0,1,1,0,1,1,1,1,0,1,0,2.0,1071.38,0,244046.0,0,0,1,0,0,22,2,8,1,0,0,22,2,0,4,2,51,1
9948,1,0.0,1,2233.0,1,1,0,0,1,0,0,0,0,0,0.0,0.0,0,141216.0,5,0,1,0,0,35,6,16,0,0,0,36,2,0,1,3,48,1
13973,0,2500.0,1,1200.0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0,223296.0,5,4,1,0,0,22,6,8,0,0,0,36,2,0,6,8,6,2
18052,0,0.0,1,1200.0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0,14690.0,1,1,1,0,0,22,6,8,0,0,0,36,2,0,0,8,6,0
18535,0,0.0,1,1900.0,1,1,0,1,1,1,0,1,0,0,0.0,0.0,0,66624.0,5,0,1,0,0,35,0,16,0,0,0,37,2,0,1,8,48,1
19727,1,0.0,1,1200.0,0,0,0,0,1,0,0,0,1,0,1.0,165.14,0,266927.0,5,0,1,0,0,35,6,16,0,0,0,36,2,0,1,3,48,1
21755,0,2500.0,1,0.0,0,0,0,1,1,1,1,0,1,0,1.0,0.0,0,380247.0,5,1,1,0,0,35,6,16,0,0,0,22,2,0,2,8,48,3
22587,0,2500.0,0,1200.0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0,145397.0,5,4,0,0,0,22,6,8,0,0,0,36,2,0,6,8,6,2
23687,0,2000.0,1,0.0,0,0,0,1,0,1,0,0,0,0,0.0,0.0,0,67005.0,5,4,0,0,0,22,6,8,1,0,0,12,2,0,6,8,6,3
52324,0,2500.0,1,0.0,0,0,0,0,1,0,1,0,1,0,1.0,223.12,0,87080.0,5,0,1,0,0,22,6,8,0,0,0,37,2,0,4,3,6,3
