,Hospital_Associated_encoded,Tot_Sls_Amt,Msa_Dma_encoded,Salesperson_encoded,ST_encoded,Chain_Name_encoded,LMS_Available_Matching_Funds
65,3,988589.0,139,10,28,38,0.0
133,0,132586.0,85,31,16,33,5800.0
148,0,412451.0,145,110,48,38,1200.0
149,3,421148.0,153,10,28,39,700.0
167,3,624629.0,139,10,28,38,0.0
351,0,363462.0,52,49,22,37,0.0
360,3,462648.0,139,10,28,38,1200.0
363,0,106832.0,91,49,23,38,0.0
364,11,166597.0,113,122,43,1,1200.0
365,0,184495.0,152,65,29,38,1200.0
368,0,218763.0,109,74,12,37,1200.0
376,3,218818.0,131,6,36,1,1200.0
377,6,208660.0,108,122,43,1,0.0
378,0,135267.0,152,65,29,39,1154.0
386,0,178297.0,135,54,16,39,3600.0
391,0,359737.0,98,18,12,38,169.0
392,0,162895.0,122,65,29,38,1185.0
394,0,341788.0,91,49,48,38,1200.0
399,0,189490.0,122,45,12,38,0.0
401,0,81402.0,91,49,23,38,0.0
409,0,91610.0,135,54,16,37,1200.0
410,0,230625.0,98,22,12,37,1170.0
411,3,240224.0,200,30,13,39,1200.0
412,0,122258.0,87,31,14,27,1200.0
414,0,136915.0,41,49,22,38,0.0
416,1,291676.0,104,101,14,1,3020.0
417,0,277228.0,52,110,22,37,0.0
428,0,168850.0,153,49,23,38,992.0
436,0,131313.0,91,49,23,38,0.0
483,0,198717.0,168,114,26,39,540.0
520,0,174633.0,92,31,16,33,5800.0
526,0,65420.0,152,22,29,38,1086.0
533,0,84056.0,122,45,12,38,0.0
551,0,111508.0,122,45,12,38,0.0
717,0,211096.0,122,45,12,38,0.0
719,0,124358.0,136,18,12,40,1200.0
722,0,217302.0,122,45,29,38,2600.0
729,0,150372.0,91,49,23,38,0.0
735,12,120161.0,133,60,14,38,20164.0
736,0,100175.0,98,45,12,38,1200.0
739,0,102959.0,135,54,16,39,0.0
745,0,467098.0,125,110,48,39,186.0
747,0,195497.0,135,54,16,39,1190.0
750,3,232298.0,139,10,28,38,0.0
752,0,278297.0,105,40,43,38,1200.0
772,0,180280.0,104,101,14,34,153.0
791,0,99936.0,52,110,22,37,0.0
836,0,158169.0,152,22,29,38,1200.0
837,0,133206.0,152,65,29,39,1200.0
838,0,116724.0,135,54,16,37,1200.0
840,0,214215.0,134,110,48,39,3600.0
841,0,143682.0,152,65,29,36,1200.0
845,0,74624.0,135,54,16,39,3600.0
847,0,105678.0,153,49,23,38,975.0
848,0,299030.0,153,49,23,38,1062.0
849,0,74574.0,135,65,29,38,1200.0
863,0,125784.0,152,65,29,37,1200.0
865,12,870193.0,52,49,22,38,2584.0
866,0,208790.0,87,60,24,38,20164.0
872,0,80671.0,135,54,16,38,1200.0
882,12,79184.0,133,60,14,38,20164.0
1037,0,215525.0,145,110,48,39,6634.0
1074,0,138164.0,85,54,16,37,490.0
1084,0,55217.0,152,54,16,39,4800.0
1094,0,120997.0,87,31,14,27,265.0
1107,0,217443.0,52,49,22,38,2584.0
1110,0,285125.0,163,65,29,36,16598.0
