Account,Hospital_Associated_encoded,Tot_Sls_Amt,Msa_Dma_encoded,Salesperson_encoded,ST_encoded,Chain_Name_encoded,LMS_Available_Matching_Funds
410092,3,988589.0,139,10,28,38,0.0
363318,0,132586.0,85,31,16,33,5800.0
304550,0,412451.0,145,110,48,38,1200.0
756418,3,421148.0,153,10,28,39,700.0
410068,3,624629.0,139,10,28,38,0.0
450395,0,363462.0,52,49,22,37,0.0
939391,3,462648.0,139,10,28,38,1200.0
64295,0,106832.0,91,49,23,38,0.0
211295,11,166597.0,113,122,43,1,1200.0
522003,0,184495.0,152,65,29,38,1200.0
57885,0,218763.0,109,74,12,37,1200.0
588164,3,218818.0,131,6,36,1,1200.0
307898,6,208660.0,108,122,43,1,0.0
423327,0,135267.0,152,65,29,39,1154.0
759298,0,178297.0,135,54,16,39,3600.0
38661,0,359737.0,98,18,12,38,169.0
39891,0,162895.0,122,65,29,38,1185.0
40741,0,341788.0,91,49,48,38,1200.0
835202,0,189490.0,122,45,12,38,0.0
487514,0,81402.0,91,49,23,38,0.0
209862,0,91610.0,135,54,16,37,1200.0
754892,0,230625.0,98,22,12,37,1170.0
785195,3,240224.0,200,30,13,39,1200.0
211955,0,122258.0,87,31,14,27,1200.0
672355,0,136915.0,41,49,22,38,0.0
785340,1,291676.0,104,101,14,1,3020.0
699218,0,277228.0,52,110,22,37,0.0
755549,0,168850.0,153,49,23,38,992.0
820009,0,131313.0,91,49,23,38,0.0
13805,0,198717.0,168,114,26,39,540.0
358666,0,174633.0,92,31,16,33,5800.0
423087,0,65420.0,152,22,29,38,1086.0
19566,0,84056.0,122,45,12,38,0.0
500168,0,111508.0,122,45,12,38,0.0
95778,0,211096.0,122,45,12,38,0.0
322425,0,124358.0,136,18,12,40,1200.0
118119,0,217302.0,122,45,29,38,2600.0
988267,0,150372.0,91,49,23,38,0.0
357999,12,120161.0,133,60,14,38,20164.0
713685,0,100175.0,98,45,12,38,1200.0
834844,0,102959.0,135,54,16,39,0.0
414557,0,467098.0,125,110,48,39,186.0
570605,0,195497.0,135,54,16,39,1190.0
396775,3,232298.0,139,10,28,38,0.0
422980,0,278297.0,105,40,43,38,1200.0
554423,0,180280.0,104,101,14,34,153.0
836016,0,99936.0,52,110,22,37,0.0
510530,0,158169.0,152,22,29,38,1200.0
27367,0,133206.0,152,65,29,39,1200.0
775471,0,116724.0,135,54,16,37,1200.0
819529,0,214215.0,134,110,48,39,3600.0
175821,0,143682.0,152,65,29,36,1200.0
556780,0,74624.0,135,54,16,39,3600.0
755477,0,105678.0,153,49,23,38,975.0
755518,0,299030.0,153,49,23,38,1062.0
300743,0,74574.0,135,65,29,38,1200.0
43372,0,125784.0,152,65,29,37,1200.0
835794,12,870193.0,52,49,22,38,2584.0
133186,0,208790.0,87,60,24,38,20164.0
382554,0,80671.0,135,54,16,38,1200.0
355639,12,79184.0,133,60,14,38,20164.0
753770,0,215525.0,145,110,48,39,6634.0
44634,0,138164.0,85,54,16,37,490.0
175812,0,55217.0,152,54,16,39,4800.0
159420,0,120997.0,87,31,14,27,265.0
420639,0,217443.0,52,49,22,38,2584.0
29371,0,285125.0,163,65,29,36,16598.0
954725,0,51161.0,122,22,29,38,0.0
804132,0,119372.0,135,54,16,39,1016.0
826265,0,234684.0,172,90,13,39,1200.0
181424,0,138940.0,85,31,16,38,1200.0
30676,3,253285.0,113,15,43,39,4800.0
193275,1,128451.0,149,14,18,2,6000.0
274809,12,168099.0,133,60,14,38,20164.0
786953,0,281618.0,104,60,14,1,1200.0
204159,0,92383.0,152,22,29,38,1123.0
250522,0,149729.0,163,86,5,37,1190.0
484093,0,154031.0,173,82,26,38,1200.0
738362,3,233966.0,89,66,23,34,0.0
56846,0,39299.0,136,18,12,38,1200.0
752474,0,108089.0,152,65,29,38,2400.0
628368,3,140686.0,91,66,23,34,9600.0
60830,3,599539.0,33,9,34,34,1200.0
496679,0,54622.0,98,18,29,38,646.0
91489,0,26679.0,41,49,22,22,1200.0
635706,0,117939.0,152,65,29,37,0.0
307310,0,54987.0,152,65,29,38,3590.0
698326,3,108483.0,89,66,23,34,9600.0
698898,3,124307.0,89,66,23,34,9600.0
626222,3,164799.0,89,66,23,34,9600.0
568309,0,86215.0,135,54,16,38,1070.0
697942,3,145316.0,144,66,23,34,9600.0
784847,0,195253.0,87,101,14,1,0.0
976688,0,13509.0,91,49,23,38,2400.0
931348,0,43191.0,98,18,12,10,1200.0
611388,0,129300.0,87,101,24,39,400.0
44958,0,129397.0,152,22,29,36,16598.0
713739,0,66189.0,135,54,16,39,0.0
418793,0,286612.0,42,75,17,7,1200.0
743816,0,62485.0,122,45,29,38,7050.0
287580,0,96059.0,169,90,13,39,1200.0
131181,0,22559.0,135,54,16,39,3600.0
690656,3,244834.0,89,66,23,34,0.0
787350,1,227104.0,104,101,14,1,3020.0
291531,0,84842.0,122,22,29,38,0.0
751896,1,142336.0,104,101,14,1,3020.0
170480,1,166373.0,128,95,43,38,1200.0
538363,1,424829.0,41,108,22,38,650.0
698016,3,88631.0,89,66,23,34,9600.0
636225,0,97256.0,152,65,29,36,16598.0
402374,3,367624.0,15,113,34,36,1200.0
357434,0,71329.0,152,65,29,38,3590.0
288445,3,204012.0,27,9,34,37,1200.0
612359,3,299250.0,54,9,34,37,1200.0
647135,0,242776.0,87,101,24,39,200.0
697944,3,92746.0,89,66,23,34,9600.0
368961,0,89384.0,152,54,16,39,4800.0
835803,12,227043.0,52,49,22,38,2584.0
265137,1,151448.0,149,14,18,2,6000.0
624397,0,136102.0,109,74,12,36,3600.0
175819,0,78851.0,152,65,29,36,1200.0
352636,12,172689.0,95,31,24,33,1200.0
455449,0,63253.0,152,65,29,38,2400.0
215161,0,71334.0,122,122,12,56,0.0
464710,3,236780.0,140,23,1,1,150.0
576037,0,33992.0,91,49,48,38,0.0
414716,0,139754.0,153,10,28,38,0.0
571372,0,154058.0,135,54,16,38,0.0
557220,12,183778.0,84,31,24,33,1200.0
835219,0,461518.0,152,65,29,36,16598.0
103012,12,165157.0,95,31,24,33,1200.0
413857,3,323484.0,42,106,17,7,0.0
634056,3,102324.0,91,66,23,34,0.0
103691,12,116637.0,84,31,24,33,1200.0
13192,3,328179.0,139,10,28,38,0.0
448811,12,259835.0,145,62,48,39,0.0
722911,0,306035.0,145,110,48,39,0.0
545145,0,88392.0,152,54,16,37,1200.0
386308,0,92583.0,135,54,16,39,1200.0
302650,2,138021.0,135,54,16,37,0.0
512175,12,102375.0,131,54,16,37,1200.0
517683,0,91298.0,109,74,12,36,3600.0
581585,0,118300.0,135,54,16,39,4800.0
424168,0,41563.0,152,65,29,38,3590.0
653093,10,80457.0,95,31,24,1,1200.0
213210,0,65731.0,135,22,16,38,1200.0
641174,0,95617.0,91,49,48,38,1200.0
834542,12,152125.0,135,54,16,38,1200.0
713189,0,54520.0,152,22,29,36,1000.0
286014,1,209604.0,149,14,18,2,6000.0
768237,0,384770.0,140,35,1,1,1200.0
539380,0,4719.0,91,49,23,38,2400.0
828605,3,88598.0,185,39,4,36,2400.0
98411,1,334801.0,185,39,4,36,0.0
31384,3,149442.0,193,102,4,36,1200.0
832523,3,81681.0,185,39,4,36,2400.0
65372,0,135040.0,190,42,4,50,0.0
965648,0,136973.0,190,42,4,50,0.0
217968,3,151025.0,163,55,5,37,502.0
442400,0,131920.0,52,49,22,38,1200.0
975317,1,233750.0,185,120,4,36,1200.0
169685,0,57685.0,136,18,12,40,1200.0
169846,0,86967.0,98,18,12,40,1200.0
344429,0,104459.0,136,18,12,40,1200.0
915547,0,252162.0,122,22,29,36,16598.0
441469,0,215651.0,144,49,48,38,4896.0
47662,0,98687.0,109,74,12,38,1200.0
284675,3,385494.0,12,76,7,8,0.0
408339,0,160431.0,113,15,43,39,4800.0
717103,0,92381.0,113,15,43,39,0.0
97657,0,162551.0,135,54,16,38,1200.0
392529,3,1282624.0,163,86,5,33,1200.0
479751,10,400602.0,171,86,29,59,1200.0
12456,12,127775.0,172,90,13,39,8400.0
14643,12,120665.0,172,90,13,39,8400.0
221720,12,56308.0,172,90,13,39,8400.0
759625,12,228245.0,172,90,13,39,8400.0
765973,15,352165.0,102,23,1,1,1200.0
478950,1,293711.0,61,108,22,37,0.0
211639,15,132230.0,94,122,43,1,0.0
49817,15,330262.0,191,83,47,39,0.0
417983,1,709417.0,187,47,4,39,4604.0
608796,15,535903.0,197,85,4,36,1200.0
854521,15,50892.0,197,85,4,37,0.0
714060,15,157653.0,71,73,42,2,483.0
869806,0,32623.0,200,30,47,39,1200.0
180921,15,44563.0,51,108,22,36,11392.0
671161,1,202027.0,25,107,10,2,872.0
762654,15,142747.0,112,91,25,1,1200.0
761542,15,87795.0,138,98,1,1,1200.0
786063,1,279662.0,104,41,24,39,1200.0
36336,15,56519.0,42,106,17,1,1200.0
638329,15,41125.0,185,118,4,36,400.0
638328,15,58140.0,2,92,34,26,1200.0
716262,13,286978.0,35,32,9,0,400.0
531336,15,117148.0,2,48,34,26,0.0
558027,15,28325.0,5,52,38,25,400.0
646982,15,35879.0,94,7,43,37,1200.0
190041,15,105136.0,25,107,10,1,600.0
770338,15,144333.0,23,44,1,1,1200.0
67660,1,238516.0,149,14,25,37,1200.0
185479,15,1851.0,185,39,4,36,1200.0
558084,1,54973.0,159,24,11,39,1200.0
55235,15,175926.0,113,15,43,1,1200.0
287774,15,216837.0,5,26,31,39,0.0
484053,15,358736.0,48,2,35,36,2233.0
644743,15,65308.0,2,111,6,37,1200.0
767903,15,0.0,93,62,48,33,0.0
867725,15,170396.0,191,83,47,39,1200.0
193392,15,159344.0,62,72,35,1,644.0
