,Auto_Ship_Ind,Interior_Decor_Signage_Available_Funds,LMS_Enrolled,LMS_Available_Matching_Funds,LMS_Used_Funds_Most_Recent_3_Months,LMS_Used_Funds_Previous_3_Months,Open_Smart,PIP_Program,PQS_Program,SCS_Program,Spar_Coverage_Ind,Specialty_Solutions,Vaccine_Items,Vaccine_Starter,Vaccine_Items_Count,Vaccine_Items_Sls_Amt,YPO,Tot_Sls_Amt,DLC_Program_encoded,FEM_Program_encoded,HM_Circular_Program_encoded,Internal_Decor,PQS_Enrolled_encoded,ST_encoded,Pog_Code_Name_encoded,DC_Name_encoded,Bus_Type_Desc_encoded,Region_encoded,PSAO_Expanded_encoded,Chain_Name_encoded,Salesperson_encoded,AH_Program_encoded,OTC_Front-end_Size_encoded,MRA_Program_Type_-_Active_AH_encoded,Msa_Dma_encoded,Signage_Program_encoded,Hospital_Associated_encoded
65,0,0.0,1,0.0,1,1,0,1,1,1,0,0,1,0,1.0,374.42,1,988589.0,2,2,0,1,0,28,2,11,0,0,0,38,10,0,5,2,139,0,3
133,0,2500.0,1,5800.0,0,0,0,0,1,1,1,0,0,0,0.0,0.0,0,132586.0,5,0,0,0,0,16,2,22,0,0,0,33,31,0,6,0,85,1,0
148,1,1829.0,0,1200.0,0,0,0,1,1,1,1,0,1,0,1.0,374.73,0,412451.0,5,0,0,1,0,48,2,11,0,0,0,38,110,0,1,3,145,0,0
149,0,603.0,1,700.0,1,1,0,0,1,1,0,0,0,0,0.0,0.0,0,421148.0,3,3,0,1,0,28,6,11,0,0,0,39,10,0,3,2,153,5,3
167,0,0.0,1,0.0,1,1,0,1,1,1,0,0,1,0,1.0,374.42,1,624629.0,2,2,0,1,0,28,3,11,0,0,0,38,10,0,5,2,139,0,3
351,1,0.0,1,0.0,1,1,0,0,1,1,0,0,1,0,1.0,2126.66,1,363462.0,5,0,1,1,0,22,2,10,0,0,0,37,49,0,4,3,52,0,0
360,0,0.0,1,1200.0,0,0,0,0,1,1,0,0,0,0,0.0,0.0,1,462648.0,5,4,0,0,0,28,6,11,0,0,0,38,10,0,6,2,139,0,3
363,1,2500.0,1,0.0,0,0,0,0,1,1,1,0,0,0,0.0,0.0,1,106832.0,5,3,1,0,0,23,2,11,0,0,9,38,49,4,4,7,91,3,0
364,0,2000.0,0,1200.0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0,166597.0,5,4,0,0,0,43,6,2,0,2,22,1,122,1,6,7,113,2,11
365,1,0.0,1,1200.0,0,0,0,0,1,1,1,0,1,0,1.0,69.39,0,184495.0,0,3,1,1,0,29,2,11,0,0,0,38,65,0,3,2,152,1,0
