Account,Zip,Hm_Start_Dt,Channel_Type_Cd,Auto_Ship_Ind,Internal_Decor,Interior_Decor_Signage_Available_Funds,LMS_Enrolled,LMS_Available_Matching_Funds,LMS_Used_Funds_Most_Recent_3_Months,LMS_Used_Funds_Previous_3_Months,Open_Smart,PIP_Program,KYN_Training,PQS_Program,Last_EQuIPP_Login,PQS_Enrolled_Date,SCS_Program,Spar_Coverage_Ind,Specialty_Solutions,Vaccine_Items,Vaccine_Starter,Vaccine_Items_Count,Vaccine_Items_Sls_Amt,YPO,Tot_Sls_Amt,Brand_Rx_Sls_Amt,Gnrc_Rx_Sls_Amt,Os_Gnrc_Rx_Sls_Amt,Otc_Sls_Amt,IS_HID,340B_Active,Profitability,Annual_Dispense_Fee_Total,Macro_PID,Script_Count,Capture_Rate,Specialty_Spend,Specialty_Product_Purchases,Generic,Brand,Generic_Ratio,DLC_Program_encoded,FEM_Program_encoded,HM_Circular_Program_encoded,PQS_Enrolled_encoded,ST_encoded,Pog_Code_Name_encoded,DC_Name_encoded,Bus_Type_Desc_encoded,Region_encoded,PSAO_Expanded_encoded,Buying_Group_encoded,Chain_Name_encoded,Region_Name_encoded,Salesperson_encoded,AH_Program_encoded,OTC_Front-end_Size_encoded,MRA_Program_Type_-_Active_AH_encoded,Msa_Dma_encoded,Signage_Program_encoded,3rd_Party_Vendor_encoded,Hospital_Associated_encoded
10491,97463,732524,30,1,1,1724.0,1,822.0,1,1,0,1,736143,1,736528,735464,1,0,0,1,0,4.0,1700.66,0,141319.0,100516.0,2957.0,32033.0,5812.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,1,0,37,2,19,0,3,16,17,39,23,1,4,1,7,183,0,18,15
17475,97630,732687,30,1,1,0.0,1,0.0,1,1,0,0,735372,1,720624,735380,1,1,0,0,0,0.0,0.0,0,211381.0,137274.0,6214.0,47510.0,20385.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,37,2,19,0,3,0,17,39,23,1,0,3,3,190,0,18,15
19901,97471,732616,30,0,1,0.0,1,0.0,1,1,0,1,735488,1,720624,736577,1,1,0,0,0,0.0,0.0,1,151490.0,99796.0,3234.0,41504.0,6956.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,37,2,19,0,3,0,17,39,23,1,0,4,2,183,0,18,15
309745,97467,735998,30,0,0,2500.0,1,0.0,0,0,0,0,720624,0,720624,720624,0,1,0,0,0,0.0,0.0,0,165231.0,109343.0,4224.0,40820.0,10844.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0,1,37,2,19,0,3,0,17,39,23,1,0,1,8,183,3,18,15
652229,97370,734702,30,0,1,0.0,1,340.0,1,0,0,0,735414,1,735654,735451,0,0,0,1,0,1.0,1632.71,0,129169.0,106573.0,9241.0,9881.0,3475.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,37,2,19,0,3,0,17,38,23,1,0,0,8,183,0,18,15
121439,49242,735369,30,1,0,2500.0,1,2415.0,1,1,0,1,735444,1,736577,735540,1,1,0,1,0,2.0,1071.38,0,244046.0,190692.0,3019.0,40564.0,9770.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,22,2,8,1,0,0,10,22,23,2,0,4,2,51,1,18,10
9948,43606,734825,30,1,0,0.0,1,2233.0,1,1,0,0,735520,1,736563,735533,0,0,0,0,0,0.0,0.0,0,141216.0,116999.0,2380.0,17448.0,4389.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,1,0,35,6,16,0,0,0,17,36,40,2,0,1,3,48,1,18,15
13973,48101,735510,30,0,0,2500.0,1,1200.0,0,0,0,0,736228,1,720624,736255,0,0,0,0,0,0.0,0.0,0,223296.0,193039.0,5345.0,19691.0,5222.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,4,1,0,22,6,8,0,0,0,17,36,40,2,0,6,8,6,2,18,15
18052,48033,735206,30,0,0,0.0,1,1200.0,0,0,0,0,735654,1,735942,735673,0,0,0,0,0,0.0,0.0,0,14690.0,5204.0,256.0,8353.0,878.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0,22,6,8,0,0,0,17,36,40,2,0,0,8,6,0,18,15
18535,43551,734998,30,0,0,0.0,1,1900.0,1,1,0,1,735521,1,736348,735527,1,0,1,0,0,0.0,0.0,0,66624.0,50395.0,1529.0,12421.0,2278.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,1,0,35,0,16,0,0,0,17,37,23,2,0,1,8,48,1,18,15
19727,43608,734700,30,1,0,0.0,1,1200.0,0,0,0,0,720624,1,736297,735610,0,0,0,1,0,1.0,165.14,0,266927.0,225758.0,3325.0,28150.0,9695.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,1,0,35,6,16,0,0,0,17,36,40,2,0,1,3,48,1,18,15
21755,43605,735389,30,0,0,2500.0,1,0.0,0,0,0,1,735922,1,736591,735424,1,1,0,1,0,1.0,0.0,0,380247.0,336687.0,2705.0,30041.0,10814.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1,1,0,35,6,16,0,0,0,10,22,23,2,0,2,8,48,3,18,15
22587,48146,736017,30,0,0,2500.0,0,1200.0,0,0,0,0,720624,1,736598,735984,0,0,0,0,0,0.0,0.0,0,145397.0,135808.0,2504.0,5904.0,1180.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,4,0,0,22,6,8,0,0,0,17,36,40,2,0,6,8,6,2,18,15
23687,48185,736413,30,0,0,2000.0,1,0.0,0,0,0,1,720624,0,720624,735879,1,0,0,0,0,0.0,0.0,0,67005.0,62855.0,318.0,3429.0,403.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,4,0,0,22,6,8,1,0,0,6,12,23,2,0,6,8,6,3,18,15
52324,48170,735578,30,0,0,2500.0,1,0.0,0,0,0,0,736264,1,720624,736493,0,1,0,1,0,1.0,223.12,0,87080.0,57602.0,3681.0,22185.0,3612.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,1,0,22,6,8,0,0,0,17,37,23,2,0,4,3,6,3,18,15
70723,43528,735053,30,0,0,0.0,1,1200.0,1,0,0,0,735361,1,736409,735374,0,0,0,0,0,0.0,0.0,1,262856.0,227691.0,3680.0,24108.0,7376.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,1,0,35,2,16,0,0,0,17,36,40,2,0,1,3,48,1,18,15
118541,48164,735334,30,0,0,0.0,1,1200.0,0,0,0,0,720624,0,720624,720624,0,1,0,0,0,0.0,0.0,0,19712.0,12829.0,974.0,2676.0,3234.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,1,1,22,6,8,0,0,0,17,36,40,2,0,4,8,6,0,18,15
121600,49242,735369,30,0,0,2299.0,1,2415.0,1,1,0,1,736210,1,736577,735540,1,1,0,1,0,1.0,500.64,0,215873.0,165529.0,3342.0,42565.0,4437.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1,1,0,22,2,8,1,0,0,10,22,23,2,0,2,2,51,1,18,10
121453,48103,733762,30,0,1,1957.0,1,1200.0,0,0,0,1,735495,1,736419,735631,1,1,0,0,0,0.0,0.0,0,75924.0,66829.0,1888.0,5888.0,1319.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,22,2,8,0,0,0,17,36,40,2,0,1,8,6,1,18,15
483587,48130,734875,30,1,0,2500.0,1,1127.0,1,1,0,0,735302,1,736613,735311,1,0,0,1,0,5.0,499.14,1,302746.0,171815.0,15504.0,98590.0,16836.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,1,0,22,2,8,0,0,0,17,38,23,2,0,3,3,6,0,10,3
121761,49250,735369,30,1,0,2500.0,1,2415.0,1,1,0,1,735436,1,736577,735540,1,1,0,1,0,2.0,351.26,0,130283.0,104191.0,1269.0,22277.0,2545.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,1,0,22,2,8,1,0,0,10,22,23,2,0,4,2,51,1,18,15
173481,48182,735509,30,0,0,2500.0,1,1900.0,1,1,0,1,720624,1,736348,735527,1,0,1,0,0,0.0,0.0,0,33539.0,13005.0,1467.0,18446.0,620.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,4,1,0,22,6,16,0,0,0,17,37,23,2,0,6,8,6,1,18,15
181954,48195,736608,30,0,0,2500.0,0,0.0,0,0,1,1,720624,1,720624,735534,1,0,0,0,0,0.0,0.0,0,59364.0,50329.0,1097.0,7194.0,744.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,4,1,0,22,6,8,0,0,0,17,36,40,2,0,6,8,6,3,18,15
182853,48183,736048,30,0,0,2000.0,1,0.0,0,0,0,0,736228,1,736590,736240,0,1,0,0,0,0.0,0.0,0,85193.0,64872.0,987.0,18164.0,1171.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,0,0,22,6,8,0,0,0,10,22,23,2,0,5,8,6,3,18,15
